"STATION","AQHI DISPLAY NAME","DATE","MIN","MEAN","MAX","VALID HOURS"
"E227431","Whistler","10/1/2016","0.91","1.48","1.85","24"
"E227431","Whistler","10/2/2016","0.51","1.13","1.76","24"
"E227431","Whistler","10/3/2016","0.49","1.16","1.81","24"
"E227431","Whistler","10/4/2016","0.51","1.04","1.62","24"
"E227431","Whistler","10/5/2016","0.3","1","1.93","24"
"E227431","Whistler","10/6/2016","0.28","1.06","1.64","24"
"E227431","Whistler","10/7/2016","1.07","1.48","1.82","24"
"E227431","Whistler","10/8/2016","0.75","1.39","1.72","24"
"E227431","Whistler","10/9/2016","0.72","1.07","1.72","24"
"E227431","Whistler","10/10/2016","0.56","1.27","1.91","24"
"E227431","Whistler","10/11/2016","0.94","1.53","2.09","24"
"E227431","Whistler","10/12/2016","0.79","1.59","2.41","24"
"E227431","Whistler","10/13/2016","1.02","1.46","1.94","24"
"E227431","Whistler","10/14/2016","1.06","1.8","2.7","24"
"E227431","Whistler","10/15/2016","1.1","1.4","2.29","24"
"E227431","Whistler","10/16/2016","1.34","1.68","2.11","24"
"E227431","Whistler","10/17/2016","0.59","1.22","1.7","24"
"E227431","Whistler","10/18/2016","0.74","1.44","1.98","24"
"E227431","Whistler","10/19/2016","0.7","1.33","1.75","24"
"E227431","Whistler","10/20/2016","1.15","1.57","2.15","24"
"E227431","Whistler","10/21/2016","0.7","1.38","2.06","24"
"E227431","Whistler","10/22/2016","0.91","1.33","1.71","24"
"E227431","Whistler","10/23/2016","0.44","0.9","1.42","24"
"E227431","Whistler","10/24/2016","0.6","0.98","1.5","24"
"E227431","Whistler","10/25/2016","0.55","1.3","1.87","24"
"E227431","Whistler","10/26/2016","0.6","1.11","1.36","24"
"E227431","Whistler","10/27/2016","0.76","1.44","2.19","24"
"E227431","Whistler","10/28/2016","0.68","1.02","1.43","24"
"E227431","Whistler","10/29/2016","0.5","1.11","1.91","24"
"E227431","Whistler","10/30/2016","0.7","1.18","1.59","24"
"E227431","Whistler","10/31/2016","0.58","1.17","1.72","24"
"E227431","Whistler","11/1/2016","0.59","1.27","1.81","24"
"E227431","Whistler","11/2/2016","1.36","1.66","1.83","24"
"E227431","Whistler","11/3/2016","1.5","1.93","2.22","24"
"E227431","Whistler","11/4/2016","0.62","1.22","2.13","24"
"E227431","Whistler","11/5/2016","1.24","1.72","2.21","24"
"E227431","Whistler","11/6/2016","1.07","1.47","1.93","24"
"E227431","Whistler","11/7/2016","0.69","1.32","1.91","24"
"E227431","Whistler","11/8/2016","0.96","1.28","1.58","24"
"E227431","Whistler","11/9/2016","0.73","1.17","1.84","24"
"E227431","Whistler","11/10/2016","0.46","0.81","1.21","24"
"E227431","Whistler","11/11/2016","0.52","0.96","1.43","24"
"E227431","Whistler","11/12/2016","0.85","1.52","2.12","24"
"E227431","Whistler","11/13/2016","0.52","1.41","2.14","24"
"E227431","Whistler","11/14/2016","1.08","1.65","2.36","24"
"E227431","Whistler","11/15/2016","0.95","1.42","2.05","24"
"E227431","Whistler","11/16/2016","0.52","1.14","1.68","24"
"E227431","Whistler","11/17/2016","0.95","1.31","1.75","24"
"E227431","Whistler","11/18/2016","0.45","1.09","1.47","24"
"E227431","Whistler","11/19/2016","1.01","1.17","1.37","24"
"E227431","Whistler","11/20/2016","0.81","1.16","2","24"
"E227431","Whistler","11/21/2016","0.75","1.37","1.73","24"
"E227431","Whistler","11/22/2016","0.62","1.32","2.88","24"
"E227431","Whistler","11/23/2016","1.12","2.13","3.11","24"
"E227431","Whistler","11/24/2016","1.46","2.13","3","24"
"E227431","Whistler","11/25/2016","1.51","1.88","2.52","24"
"E227431","Whistler","11/26/2016","1.16","1.75","2.81","24"
"E227431","Whistler","11/27/2016","1.29","1.85","2.85","24"
"E227431","Whistler","11/28/2016","1.24","1.53","1.91","24"
"E227431","Whistler","11/29/2016","1.11","1.25","1.46","24"
"E227431","Whistler","11/30/2016","0.77","1.23","2.14","24"
"E227431","Whistler","12/1/2016","0.67","1.44","2.16","24"
"E227431","Whistler","12/2/2016","1.01","1.69","2.53","24"
"E227431","Whistler","12/3/2016","1.14","1.82","2.12","24"
"E227431","Whistler","12/4/2016","1.51","2.07","2.87","24"
"E227431","Whistler","12/5/2016","1.53","1.92","2.65","24"
"E227431","Whistler","12/6/2016","1.56","2.06","2.29","24"
"E227431","Whistler","12/7/2016","1.83","1.97","2.22","24"
"E227431","Whistler","12/8/2016","1.73","1.92","2.04","24"
"E227431","Whistler","12/9/2016","1.65","1.82","1.99","24"
"E227431","Whistler","12/10/2016","1.41","1.52","1.63","24"
"E227431","Whistler","12/11/2016","1.31","1.48","1.62","22"
"E227431","Whistler","12/13/2016","1.9","2.09","2.49","24"
"E227431","Whistler","12/14/2016","1.8","1.95","2.13","24"
"E227431","Whistler","12/15/2016","1.83","2.05","2.42","24"
"E227431","Whistler","12/16/2016","2.09","2.41","3.06","24"
"E227431","Whistler","12/17/2016","1.97","3.34","7","24"
"E227431","Whistler","12/18/2016","2.13","3.88","7","24"
"E227431","Whistler","12/19/2016","1.9","2.15","2.44","24"
"E227431","Whistler","12/20/2016","1.44","2.2","3.15","24"
"E227431","Whistler","12/21/2016","1.29","2","2.84","24"
"E227431","Whistler","12/22/2016","1.32","1.99","2.54","24"
"E227431","Whistler","12/23/2016","1.32","1.95","2.72","24"
"E227431","Whistler","12/24/2016","1.45","2.12","3.61","24"
"E227431","Whistler","12/25/2016","1.99","2.95","3.8","24"
"E227431","Whistler","12/26/2016","1.74","2.29","3.7","24"
"E227431","Whistler","12/27/2016","2.26","2.68","3.27","24"
"E227431","Whistler","12/28/2016","1.9","2.34","2.79","24"
"E227431","Whistler","12/29/2016","1.7","2.18","2.67","24"
"E227431","Whistler","12/30/2016","1.54","2.12","3.17","24"
"E227431","Whistler","12/31/2016","1.81","2.08","2.89","24"
"X100002","Metro Vancouver NE ","10/1/2016","1.3","1.49","1.7","22"
"X100002","Metro Vancouver NE ","10/2/2016","1","1.41","2.1","24"
"X100002","Metro Vancouver NE ","10/3/2016","1","1.23","1.7","24"
"X100002","Metro Vancouver NE ","10/4/2016","1.1","1.3","1.5","24"
"X100002","Metro Vancouver NE ","10/5/2016","1.2","1.58","2.2","24"
"X100002","Metro Vancouver NE ","10/6/2016","1.1","1.44","1.6","24"
"X100002","Metro Vancouver NE ","10/7/2016","1.1","1.65","2.1","24"
"X100002","Metro Vancouver NE ","10/8/2016","1","1.37","1.8","24"
"X100002","Metro Vancouver NE ","10/9/2016","1","1.44","2.1","24"
"X100002","Metro Vancouver NE ","10/10/2016","1","1.13","1.5","24"
"X100002","Metro Vancouver NE ","10/11/2016","1.1","1.65","2.3","24"
"X100002","Metro Vancouver NE ","10/12/2016","1.1","1.45","2","24"
"X100002","Metro Vancouver NE ","10/13/2016","1.3","1.66","2.1","24"
"X100002","Metro Vancouver NE ","10/14/2016","1.6","2.06","2.3","24"
"X100002","Metro Vancouver NE ","10/15/2016","1.3","1.55","1.9","24"
"X100002","Metro Vancouver NE ","10/16/2016","1.4","1.66","1.9","24"
"X100002","Metro Vancouver NE ","10/17/2016","1.4","1.69","2","24"
"X100002","Metro Vancouver NE ","10/18/2016","1","1.45","1.8","24"
"X100002","Metro Vancouver NE ","10/19/2016","1.1","1.43","1.7","24"
"X100002","Metro Vancouver NE ","10/20/2016","1.3","1.77","2.4","24"
"X100002","Metro Vancouver NE ","10/21/2016","1","1.34","1.7","24"
"X100002","Metro Vancouver NE ","10/22/2016","1.1","1.33","1.7","24"
"X100002","Metro Vancouver NE ","10/23/2016","1.2","1.43","1.6","24"
"X100002","Metro Vancouver NE ","10/24/2016","1.5","1.98","2.5","24"
"X100002","Metro Vancouver NE ","10/25/2016","1.3","1.67","1.9","24"
"X100002","Metro Vancouver NE ","10/26/2016","1.3","1.54","1.7","24"
"X100002","Metro Vancouver NE ","10/27/2016","1.6","1.87","2.2","24"
