"name","pop","location"
"Saint-Felix-de-Valois","6029","https://www.google.com/maps/?q=46.1698,-73.4252"
"Bromont","6049","https://www.google.com/maps/?q=45.3168,-72.6491"
"The Pas","6055","https://www.google.com/maps/?q=53.8251,-101.254"
"Farnham","6061","https://www.google.com/maps/?q=45.2834,-72.9824"
"Drayton Valley","6099","https://www.google.com/maps/?q=53.2168,-114.985"
"Iqaluit","6124","https://www.google.com/maps/?q=63.747,-68.5173"
"Sooke","6145","https://www.google.com/maps/?q=48.3746,-123.728"
"Saint-Joseph-du-Lac","6195","https://www.google.com/maps/?q=45.5334,-73.9992"
"Beauceville","6226","https://www.google.com/maps/?q=46.2178,-70.7787"
"Amqui","6261","https://www.google.com/maps/?q=48.4638,-67.4313"
"Stephenville","6278","https://www.google.com/maps/?q=48.55,-58.5818"
"Summerland","6292","https://www.google.com/maps/?q=49.5998,-119.669"
"Coaldale","6317","https://www.google.com/maps/?q=49.7167,-112.619"
"Morden","6395","https://www.google.com/maps/?q=49.1919,-98.1014"
"Pointe-Calumet","6396","https://www.google.com/maps/?q=45.5001,-73.9659"
"Parry Sound","6469","https://www.google.com/maps/?q=45.3473,-80.0353"
"Perth","6481","https://www.google.com/maps/?q=44.9001,-76.2494"
"Kimberley","6513","https://www.google.com/maps/?q=49.6707,-115.978"
"Rocky Mountain House","6527","https://www.google.com/maps/?q=52.3668,-114.919"
"Mont-Joli","6568","https://www.google.com/maps/?q=48.5839,-68.1921"
"Ponoka","6656","https://www.google.com/maps/?q=52.6768,-113.581"
"Brownsburg-Chatham","6664","https://www.google.com/maps/?q=45.6834,-74.4159"
"Plessisville","6677","https://www.google.com/maps/?q=46.2186,-71.762"
"Kincardine","6725","https://www.google.com/maps/?q=44.1834,-81.6331"
"Saint-Zotique","6773","https://www.google.com/maps/?q=45.2501,-74.2492"
"Carbonear","6814","https://www.google.com/maps/?q=47.7332,-53.2148"
"Gibsons","6821","https://www.google.com/maps/?q=49.3954,-123.506"
"Greenwood","6915","https://www.google.com/maps/?q=44.9741,-64.9317"
"Olds","6947","https://www.google.com/maps/?q=51.7834,-114.102"
"Hampstead","6996","https://www.google.com/maps/?q=45.4806,-73.6631"
"Coaticook","7021","https://www.google.com/maps/?q=45.1334,-71.7991"
"Bluewater","7044","https://www.google.com/maps/?q=43.4668,-81.5998"
"Merritt","7179","https://www.google.com/maps/?q=50.1123,-120.794"
"Asbestos","7190","https://www.google.com/maps/?q=45.7668,-71.9324"
"La Sarre","7206","https://www.google.com/maps/?q=48.8002,-79.1996"
"Hanover","7255","https://www.google.com/maps/?q=44.1501,-81.033"
"Baie-Saint-Paul","7288","https://www.google.com/maps/?q=47.4411,-70.4986"
"Sydney Mines","7312","https://www.google.com/maps/?q=46.2367,-60.2177"
"Delson","7322","https://www.google.com/maps/?q=45.3668,-73.5492"
"Innisfil","7345","https://www.google.com/maps/?q=44.3001,-79.6496"
"Beaumont","7366","https://www.google.com/maps/?q=53.3501,-113.419"
"Campbellton","7384","https://www.google.com/maps/?q=48.0075,-66.6727"
"Carignan","7426","https://www.google.com/maps/?q=45.4501,-73.2992"
"Yarmouth","7500","https://www.google.com/maps/?q=43.8335,-66.1156"
"Banff","7502","https://www.google.com/maps/?q=51.1762,-115.57"
"Camlachie","7506","https://www.google.com/maps/?q=43.036,-82.1616"
"Pont Rouge","7518","https://www.google.com/maps/?q=48.8833,-72.0825"
"Aylmer","7527","https://www.google.com/maps/?q=42.7668,-80.983"
"Revelstoke","7533","https://www.google.com/maps/?q=50.9971,-118.195"
"Chibougamau","7563","https://www.google.com/maps/?q=49.9168,-74.3659"
"Wasaga Beach","7567","https://www.google.com/maps/?q=44.5168,-80.0164"
"Happy Valley-Goose Bay","7572","https://www.google.com/maps/?q=53.3038,-60.3258"
"Slave Lake","7661","https://www.google.com/maps/?q=55.2834,-114.769"
"Kirkland Lake","7775","https://www.google.com/maps/?q=48.1446,-80.0377"
"Chandler","7914","https://www.google.com/maps/?q=48.3493,-64.6793"
"Fort Frances","7931","https://www.google.com/maps/?q=48.6167,-93.4003"
"Edson","7975","https://www.google.com/maps/?q=53.5835,-116.436"
"Renfrew","8018","https://www.google.com/maps/?q=45.4668,-76.6827"
"Wild Rose","8031","https://www.google.com/maps/?q=53.4708,-113.381"
"Goderich","8032","https://www.google.com/maps/?q=43.7417,-81.7134"
"Bridgewater","8070","https://www.google.com/maps/?q=44.3786,-64.5188"
"Saint-Hippolyte","8083","https://www.google.com/maps/?q=45.9334,-74.0159"
"Saint-Felicien","8088","https://www.google.com/maps/?q=48.6501,-72.4491"
"Silver Berry","8089","https://www.google.com/maps/?q=53.4579,-113.382"
"Morinville","8108","https://www.google.com/maps/?q=53.8001,-113.652"
"Taber","8163","https://www.google.com/maps/?q=49.787,-112.146"
"Dryden","8195","https://www.google.com/maps/?q=49.7833,-92.7503"
"Notre-Dame-des-Prairies","8230","https://www.google.com/maps/?q=46.0501,-73.4324"
"Bracebridge","8238","https://www.google.com/maps/?q=45.0334,-79.3163"
"Concord","8255","https://www.google.com/maps/?q=43.8001,-79.4829"
"Winkler","8270","https://www.google.com/maps/?q=49.1817,-97.941"
"Bois-des-Filion","8383","https://www.google.com/maps/?q=45.6668,-73.7492"
"Dauphin","8418","https://www.google.com/maps/?q=51.1494,-100.05"
"Otterburn Park","8464","https://www.google.com/maps/?q=45.5334,-73.2159"
"Castlegar","8715","https://www.google.com/maps/?q=49.2998,-117.669"
"Pont-Rouge","8723","https://www.google.com/maps/?q=46.7547,-71.6957"
"Ladysmith","8740","https://www.google.com/maps/?q=48.9902,-123.817"
"Lavaltrie","8762","https://www.google.com/maps/?q=45.8834,-73.2824"
"Whitecourt","8763","https://www.google.com/maps/?q=54.1502,-115.685"
"Binbrook","8796","https://www.google.com/maps/?q=43.1213,-79.811"
"Mont-Tremblant","8892","https://www.google.com/maps/?q=46.2127,-74.5844"
"Stony Plain","8939","https://www.google.com/maps/?q=53.5334,-114.002"
"La Malbaie","8959","https://www.google.com/maps/?q=47.654,-70.1527"
"Kitimat","8987","https://www.google.com/maps/?q=54.0524,-128.653"
"Oromocto","8998","https://www.google.com/maps/?q=45.8351,-66.4792"
"Saint-Sauveur","9191","https://www.google.com/maps/?q=45.8869,-74.1794"
"Kapuskasing","9240","https://www.google.com/maps/?q=49.4169,-82.4331"
"Huron East","9264","https://www.google.com/maps/?q=43.6168,-81.2998"
"Saint-Raymond","9273","https://www.google.com/maps/?q=45.467,-73.6095"
"Roberval","9287","https://www.google.com/maps/?q=48.5168,-72.2324"
"Dorchester","9329","https://www.google.com/maps/?q=42.9834,-81.0664"
"Amherst","9336","https://www.google.com/maps/?q=45.8335,-64.1987"
"Weyburn","9362","https://www.google.com/maps/?q=49.6668,-103.851"
"La Tuque","9503","https://www.google.com/maps/?q=47.4334,-72.7824"
"Val-des-Monts","9539","https://www.google.com/maps/?q=45.6501,-75.666"
"Lachute","9562","https://www.google.com/maps/?q=45.6501,-74.3325"
"Arnprior","9607","https://www.google.com/maps/?q=45.4334,-76.3494"
"Steinbach","9607","https://www.google.com/maps/?q=49.5258,-96.6845"
"Lorraine","9613","https://www.google.com/maps/?q=45.6834,-73.7825"
"Selkirk","9653","https://www.google.com/maps/?q=50.1436,-96.8845"
"Trail","9707","https://www.google.com/maps/?q=49.0998,-117.702"
