Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
ELEC,Ramada,1319 2nd St W,,Brooks,AB,T1R 1P7,,403-362-6440,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,50.585242,-111.898615,2020-10-07,82833,2020-10-07 22:10:07 UTC,P,,,2012-02-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Davis Chevrolet,149 E Lake Crescent NE,,Airdrie,AB,T4A 2H9,,403-948-6909,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,51.288119,-113.998284,2020-10-07,82834,2020-10-07 22:10:07 UTC,P,,,2015-01-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Go Nissan South,1275 101 St SW,,Edmonton,AB,T6X 1A1,,877-706-0192,E,,Public - Call ahead,24 hours daily,,,,,,2,,,Non-Networked,,200-9,53.421352,-113.49069,2019-12-09,82835,2020-09-17 19:57:26 UTC,P,,,2018-05-23,,,,,J1772,CA,,Accessible 24 heures par jour,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Don Wheaton Chevrolet,10727 - 82 Ave,,Edmonton,AB,T6E 2B1,,,E,,Public,"7am-6pm M-F, 8am-2pm Sat",,,,,,2,,,Non-Networked,,200-9,53.517704,-113.507252,2020-10-07,82836,2020-10-07 22:10:07 UTC,P,,,2013-01-15,,,,,J1772,CA,,"7:00-18:00 LUN-VEN, 8:00-14:00 SAT",,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Gasonic Instruments,8-823 41st Ave NE,,Calgary,AB,T2E 6Y3,,403-276-2201,E,,Public,8am-5pm M-F; remaining hours and all weekends available to the public,,,,,,1,,,Non-Networked,,200-9,51.092856,-114.043029,2020-10-07,82837,2020-10-07 22:10:07 UTC,P,,,2015-04-15,,,,,J1772,CA,,8:00-17:00 LUN-VEN; disponible au public le reste des heures et les fin de semaines,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,
ELEC,International Motor Cars,7220 Railway St SE,,Calgary,AB,T2H 3A8,,844-288-8918,E,,Public - Call ahead,24 hours daily,,,,,,1,,,Non-Networked,,200-9,50.990495,-114.042414,2020-10-07,82838,2020-10-07 22:10:07 UTC,P,,,2017-03-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Residence Inn,3710 Market St SE,,Calgary,AB,T3M 2P2,,587-349-8633,E,,Public,24 hours daily; for guest use only,,,,,,4,,,Non-Networked,,GPS,50.88028293795556,-113.9558734539673,2020-10-07,82839,2020-10-07 22:10:07 UTC,P,,,2017-02-01,,,,,J1772,CA,,Accessible 24 heures par jour; Ã  l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Platinum Mitsubishi,2720 Barlow Trail NE,,Calgary,AB,T1Y 1A1,,403-276-4878,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,51.07626273694107,-114.0002597533035,2019-12-09,82840,2020-09-17 20:20:37 UTC,P,,,2016-05-16,,,,,J1772,CA,,Heures dâ€™ouverture du concessionnaire,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Nissan Sorel-Tracy,4995 rue Saint-Laurent,,Sorel-Tracy,QC,J3R 5S8,,450-743-9418,E,,Public,8am-8pm M-Th; 8am-5pm F,,,,,,2,,,Non-Networked,,200-9,46.024209,-73.154564,2019-08-09,82842,2020-04-14 22:13:47 UTC,P,,,2011-03-15,,,,,J1772,CA,,8:00-20:00 L-J; 8:00-17:00 V,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Red River College,Skinner Rd,Located beside automotive building,Winnipeg,MB,R3J 3Y9,,204-632-3960,E,,Public,24 hours daily,,,,,,1,1,,Non-Networked,,GPS,49.9193337685111,-97.20904312233733,2020-06-08,82843,2020-06-08 17:13:25 UTC,P,,,2014-02-01,,,,,CHADEMO J1772,CA,A coté de l'office d'automobile,Accessible 24 heures par jour,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,Gratuit,,,,,,,,
