"name","pop2019","pop2016","pop2011"
"Ontario","14733119","13448494","12851821"
"Quebec","8575779","8164361","7903000"
"British Columbia","5145851","4648055","4400057"
"Alberta","4428112","4067175","3645257"
"Manitoba","1379584","1278365","1208268"
"Saskatchewan","1177884","1098352","1053960"
"Nova Scotia","979115","923598","921727"
"New Brunswick","781315","747101","751171"
"Newfoundland","520998","519716","514536"
"Prince Edward Island","159713","142907","140204"
"Northwest Territory","45074","41786","41462"
"Yukon","42176","35874","33897"
"Nunavut","39285","35944","31906"
