"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","1","York University Busway, York University Heights, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1870,1405,2487
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","2","0 Hambly Avenue, The Beach, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",886,635,1235
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","3","3400 Kingston Road, Scarborough Village, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",2090,1649,2648
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","4","100 Dunn Avenue, Parkdale, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",815,530,1252
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","5","0 Carlaw Avenue, Leslieville, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",540,372,782
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","6","0 Acheson Boulevard, Port Union, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1731,1333,2246
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","7","2800 Kingston Road, Cliffcrest, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1843,1428,2377
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","8","0 Guildwood Parkway, Guildwood, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",2261,1813,2819
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","9","0 Avenue of the Island, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",738,481,1130
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","10","4200 Lawrence Avenue East, West Hill, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",2042,1584,2631
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","11","400 Grandstand Entrance Road, Rexdale, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1612,1158,2243
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","12","100 Isabella Street, Downtown, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",380,229,630
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","13","0 Rangoon Road, Eringate - Centennial - West Deane, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1451,1039,2024
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","14","0 Duncairn Road, Don Mills, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1017,717,1440
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","15","0 McIntosh Street, Cliffside, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1458,1115,1906
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","16","300 Old Finch Avenue, Rouge, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1811,1384,2368
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","17","100 Fairlawn Avenue, Bedford Park, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1272,943,1714
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","18","100 Lascelles Boulevard, Midtown Toronto, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",840,601,1173
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","19","0 Station Road, Mimico, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",974,646,1467
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","20","100 Augusta Avenue, Downtown, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",245,96,625
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","21","0 Norwood Road, Upper Beaches, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1127,846,1501
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","22","0 Pondsview Drive, Pleasant View, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1305,943,1804
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","23","500 Manning Avenue, Palmerston, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",560,370,846
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","24","0 Brushwood Court, Parkwoods - Donalda, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1138,810,1597
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","25","0 Dolly Varden Boulevard, Woburn, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1525,1151,2019
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","26","0 Balmoral Avenue, Midtown Toronto, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",526,353,783
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","27","0 Eaton Avenue, Riverdale, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",953,676,1342
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","28","0 Liscombe Road, Rustic, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1856,1387,2482
