Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,127349248,1631.3627977455662,3875921,49.65112417782626,427964,2787593,35.709480714451935,66587,0.8529893683666194,8156,
United States of America,Americas,29968464,9053.84,431301,130.3,46865,544430,164.48,7170,2.17,560,Community transmission
Brazil,Americas,12534688,5897.03,536455,252.38,44326,312206,146.88,18164,8.55,1656,Community transmission
India,South-East Asia,12095855,876.51,409059,29.64,56211,162114,11.75,1948,0.14,271,Clusters of cases
Russian Federation,Europe,4536820,3108.81,62210,42.63,8277,98442,67.46,2624,1.8,409,Clusters of cases
France,Europe,4481165,6865.21,232183,355.71,9094,94402,144.63,2308,3.54,360,Community transmission
The United Kingdom,Europe,4337700,6389.68,35771,52.69,4654,126615,186.51,443,0.65,23,Community transmission
Italy,Europe,3544957,5863.13,144080,238.3,12900,108350,179.2,3022,5,417,Clusters of cases
Spain,Europe,3270825,6995.7,37674,80.58,1564,75199,160.84,222,0.47,5,Community transmission
Turkey,Europe,3240577,3842.32,205239,243.35,32404,31230,37.03,1052,1.25,154,Community transmission
Germany,Europe,2791822,3332.17,117112,139.78,9549,76093,90.82,1129,1.35,180,Community transmission
Colombia,Americas,2382730,4682.77,45580,89.58,7139,62955,123.73,927,1.82,165,Community transmission
Argentina,Americas,2308597,5107.99,62826,139.01,7208,55449,122.69,904,2,81,Community transmission
Poland,Europe,2288826,6047.64,198957,525.69,20862,52392,138.43,2631,6.95,460,Community transmission
Mexico,Americas,2226550,1726.91,30778,23.87,1783,201623,156.38,3587,2.78,194,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1864984,2220.41,56562,67.34,9310,62478,74.38,601,0.72,81,Community transmission
Ukraine,Europe,1662942,3802.42,97210,222.28,10533,32418,74.13,1987,4.54,286,Community transmission
South Africa,Africa,1545979,2606.67,7528,12.69,548,52710,88.87,514,0.87,47,Community transmission
Peru,Americas,1529882,4639.96,63556,192.76,8909,51469,156.1,1271,3.85,231,Community transmission
Czechia,Europe,1523668,14227.95,48130,449.44,6896,26222,244.86,1167,10.9,186,Community transmission
Indonesia,South-East Asia,1501093,548.8,35165,12.86,5008,40581,14.84,870,0.32,132,Community transmission
Netherlands,Europe,1259155,7348.49,51609,301.19,6824,16475,96.15,184,1.07,10,Community transmission
Chile,Americas,984484,5150,46390,242.67,7241,23070,120.68,711,3.72,316,Community transmission
Canada,Americas,965404,2557.89,31619,83.78,4321,22880,60.62,204,0.54,28,Community transmission
Romania,Europe,940443,4888.54,39585,205.77,3825,23234,120.77,966,5.02,120,Community transmission
Belgium,Europe,872936,7532.05,26143,225.57,2,22921,197.77,159,1.37,6,Community transmission
Iraq,Eastern Mediterranean,838265,2084.07,39718,98.75,5837,14249,35.43,213,0.53,37,Community transmission
Israel,Europe,831084,9601.76,2994,34.59,0,6165,71.23,64,0.74,0,Community transmission
Portugal,Europe,820716,8048.83,2938,28.81,309,16843,165.18,59,0.58,6,Clusters of cases
Sweden,Europe,780018,7723.51,24430,241.9,0,13402,132.7,15,0.15,0,Community transmission
Philippines,Western Pacific,731894,667.9,60108,54.85,10016,13186,12.03,214,0.2,16,Community transmission
Pakistan,Eastern Mediterranean,659116,298.39,28645,12.97,4525,14256,6.45,393,0.18,41,Community transmission
Hungary,Europe,645733,6684.36,59610,617.06,4609,20435,211.53,1732,17.93,274,Community transmission
Bangladesh,South-East Asia,600895,364.87,27208,16.52,5181,8949,5.43,229,0.14,45,Community transmission
Jordan,Eastern Mediterranean,597256,5853.65,52532,514.86,7940,6651,65.19,666,6.53,97,Community transmission
Switzerland,Europe,594043,6863.88,9898,114.37,3,9589,110.8,26,0.3,0,Community transmission
Serbia,Europe,590018,8472.69,34121,489.98,4512,5231,75.12,265,3.81,41,Community transmission
Austria,Europe,536751,5959.66,22783,252.96,3240,9030,100.26,171,1.9,24,Community transmission
Morocco,Eastern Mediterranean,494756,1340.42,2922,7.92,97,8807,23.86,38,0.1,9,Clusters of cases
Japan,Western Pacific,470175,371.75,12421,9.82,1561,9086,7.18,225,0.18,25,Clusters of cases
Lebanon,Eastern Mediterranean,462339,6773.76,17474,256.01,1277,6136,89.9,286,4.19,40,Community transmission
United Arab Emirates,Eastern Mediterranean,457071,4621.36,14845,150.1,1874,1486,15.02,41,0.41,5,Community transmission
