name,description,styleUrl,longitude,latitude,altitude
ABBOTSFORD A BRITISH COLUMBIA,ABBOTSFORD A BRITISH COLUMBIA ,Weather StationID 702,#icon-22,-122.35,49.016667,0
ABEE AGDM ALBERTA,ABEE AGDM ALBERTA ,Weather StationID 32232,#icon-22,-112.966667,54.283333,0
ACADIA VALLEY ALBERTA,ACADIA VALLEY ALBERTA ,Weather StationID 47748,#icon-22,-110.316667,51.05,0
AGASSIZ CS BRITISH COLUMBIA,AGASSIZ CS BRITISH COLUMBIA ,Weather StationID 706,#icon-22,-121.75,49.233333,0
AKLAVIK A NORTHWEST TERRITORIES,AKLAVIK A NORTHWEST TERRITORIES ,Weather StationID 1623,#icon-22,-135,68.216667,0
AKULIVIK A QUEBEC,AKULIVIK A QUEBEC ,Weather StationID 10789,#icon-22,-78.15,60.816667,0
ALBERT HALL AGCM ALBERTA,ALBERT HALL AGCM ALBERTA ,Weather StationID 46127,#icon-22,-111.166667,53.1,0
ALERT A NUNAVUT,ALERT A NUNAVUT ,Weather StationID 7559,#icon-22,-62.283333,82.516667,0
ALERT CLIMATE NUNAVUT,ALERT CLIMATE NUNAVUT ,Weather StationID 42463,#icon-22,-62.333333,82.5,0
ALERT UA NUNAVUT,ALERT UA NUNAVUT ,Weather StationID 10744,#icon-22,-62.333333,82.5,0
ALGONQUIN PARK EAST GATE ONTARIO,ALGONQUIN PARK EAST GATE ONTARIO ,Weather StationID 42967,#icon-22,-78.266667,40.533333,0
ALLIANCE AGCM ALBERTA,ALLIANCE AGCM ALBERTA ,Weather StationID 46327,#icon-22,-111.766667,52.3,0
ALLISTON PRINCE EDWARD ISLAND,ALLISTON PRINCE EDWARD ISLAND ,Weather StationID 6520,#icon-22,-62.6,46.066667,0
AMQUI QUEBEC,AMQUI QUEBEC ,Weather StationID 26887,#icon-22,-67.433333,48.466667,0
ANDREW AGDM ALBERTA,ANDREW AGDM ALBERTA ,Weather StationID 32253,#icon-22,-112.266667,53.916667,0
ARBORG MANITOBA,ARBORG MANITOBA ,Weather StationID 3717,#icon-22,-97.083333,50.933333,0
ARCTIC BAY CS NUNAVUT,ARCTIC BAY CS NUNAVUT ,Weather StationID 29517,#icon-22,-85,72.983333,0
ARGENTIA (AUT) NEWFOUNDLAND,ARGENTIA (AUT) NEWFOUNDLAND ,Weather StationID 10113,#icon-22,-53.983333,47.283333,0
ARMSTRONG (AUT) ONTARIO,ARMSTRONG (AUT) ONTARIO ,Weather StationID 3987,#icon-22,-88.9,50.283333,0
ARVIAT A NUNAVUT,ARVIAT A NUNAVUT ,Weather StationID 1708,#icon-22,-94.066667,61.1,0
ARVIAT AWOS NUNAVUT,ARVIAT AWOS NUNAVUT ,Weather StationID 47427,#icon-22,-94.066667,61.1,0
ARVIAT CLIMATE NUNAVUT,ARVIAT CLIMATE NUNAVUT ,Weather StationID 41576,#icon-22,-94.066667,61.1,0
ASHCROFT BRITISH COLUMBIA,ASHCROFT BRITISH COLUMBIA ,Weather StationID 48708,#icon-22,-121.266667,50.7,0
ASSINIBOIA AIRPORT SASKATCHEWAN,ASSINIBOIA AIRPORT SASKATCHEWAN ,Weather StationID 10805,#icon-22,-105.933333,49.716667,0
ATHABASCA 1 ALBERTA,ATHABASCA 1 ALBERTA ,Weather StationID 2459,#icon-22,-113.283333,54.716667,0
ATHABASCA AGCM ALBERTA,ATHABASCA AGCM ALBERTA ,Weather StationID 47047,#icon-22,-113.366667,54.633333,0
ATIKOKAN (AUT) ONTARIO,ATIKOKAN (AUT) ONTARIO ,Weather StationID 10220,#icon-22,-91.616667,48.75,0
ATLEE AGCM ALBERTA,ATLEE AGCM ALBERTA ,Weather StationID 47787,#icon-22,-111,50.8,0
ATLIN BRITISH COLUMBIA,ATLIN BRITISH COLUMBIA ,Weather StationID 1485,#icon-22,-133.7,59.566667,0
ATMORE AGDM ALBERTA,ATMORE AGDM ALBERTA ,Weather StationID 32231,#icon-22,-112.816667,54.766667,0
AULAVIK NATIONAL PARK NORTHWEST TERRITORIES,AULAVIK NATIONAL PARK NORTHWEST TERRITORIES ,Weather StationID 27118,#icon-22,-119.983333,74.133333,0
AUPALUK A QUEBEC,AUPALUK A QUEBEC ,Weather StationID 10855,#icon-22,-69.583333,59.3,0
AZURE ALBERTA,AZURE ALBERTA ,Weather StationID 47727,#icon-22,-114,50.5,0
BACCARO PT NOVA SCOTIA,BACCARO PT NOVA SCOTIA ,Weather StationID 46007,#icon-22,-65.466667,43.45,0
BACHELORS ISLAND MARINE MANITOBA,BACHELORS ISLAND MARINE MANITOBA ,Weather StationID 10882,#icon-22,-99.9,51.75,0
BADDECK BELL NOVA SCOTIA,BADDECK BELL NOVA SCOTIA ,Weather StationID 30386,#icon-22,-60.75,46.1,0
