Year/Année,Live Births/Naissances vivantes,Marriages/Mariages,Deaths/Dècés
1925,70122,33960,23074
1926,67617,35909,23632
1927,67671,34775,24677
1928,68510,37128,25728
1929,68458,38123,27605
1930,71263,37313,25605
1931,69209,35705,23771
1932,66842,36469,22224
1933,63646,35301,22587
1934,62234,35119,25874
1935,63069,36317,26843
1936,62451,37571,27734
1937,61645,38475,29893
1938,65564,36890,30080
1939,64123,37530,34657
1940,68524,38503,41229
1941,72262,39226,43270
1942,78192,39119,45466
1943,81173,41063,36109
1944,78090,39781,31227
1945,78974,39499,34137
1946,97446,39758,46073
1947,108853,41619,44056
1948,104195,42364,43242
1949,106601,43379,43304
1950,108708,43948,43774
1951,114827,43981,45198
1952,123891,44402,45251
1953,129771,45242,45954
1954,136261,44515,45028
1955,139554,45434,44634
1956,143516,47231,46282
1957,150920,49164,46780
1958,152637,48677,46894
1959,157124,50600,46598
1960,159245,51484,45855
1961,157663,50997,44434
1962,156053,52156,44454
1963,155089,53617,45306
1964,152729,52704,48501
1965,141160,54346,51274
1966,131942,54171,54571
1967,127509,54878,58377
1968,126257,55552,62109
1969,130398,55707,67150
1970,134724,56769,68880
1971,130395,56623,69590
1972,125060,58905,72278
1973,123776,59876,72371
1974,124173,60529,72716
1975,125701,60550,72208
1976,122656,60684,69364
1977,122758,61356,67730
1978,120964,61116,67491
1979,121655,61468,67980
1980,123316,62675,68840
1981,125370,64253,71413
1982,128177,65133,72800
1983,129281,64936,70958
1984,132753,65006,71928
1985,134234,67146,72992
1986,135773,68207,70888
1987,137629,77390,69501
1988,142055,79822,72380
1989,149029,81617,72553
1990,155002,81511,72389
1991,155249,74358,74683
1992,153948,71238,74479
1993,150997,67730,77403
1994,148106,66674,77796
1995,147006,67521,78729
1996,140891,66171,79317
1997,133703,64241,79763
1998,138231,64555,80387
1999,135525,66135,81583
2000,129239,65395,81408
2001,137648,62584,81467
2002,135078,61648,82425
2003,137722,63484,84425
2004,140110,62444,83354
2005,141829,61692,85811
2006,142040,62932,84876
2007,144705,61141,87588
2008,145296,60307,88251
2009,145378,59410,88677
2010,143150,59328,89553
2011,143174,58806,90271
2012,144655,60244,91089
2013,142437,57367,93711
2014,142378,59756,96243
2015,142097,61014,97635
2016,142681,61684,99766
2017,143623,62559,104035
2018,142686,64004,107591
2019,142106,62488,107631
2020(Q3),104542,28615,82853
