Year/Année,Month/Mois,Municipality/Municipalité,Totals / Totaux
1940,Aug,TORONTO,6
1940,Oct,TORONTO,6
1942,Nov,TORONTO,6
1944,Apr,TORONTO,6
1944,Jan,TORONTO,6
1945,Aug,TORONTO,6
1945,Jan,TORONTO,7
1946,Jan,TORONTO,6
1946,Nov,TORONTO,7
1946,Sep,TORONTO,9
1947,Aug,TORONTO,6
1948,Apr,TORONTO,6
1948,Jul,TORONTO,6
1949,Jan,TORONTO,7
1949,Mar,TORONTO,7
1949,May,TORONTO,8
1949,Dec,TORONTO,9
1950,Feb,TORONTO,7
1950,Jun,TORONTO,8
1950,Nov,TORONTO,8
1951,Apr,TORONTO,6
1951,Feb,TORONTO,6
1951,Jul,TORONTO,7
1951,Nov,TORONTO,7
1951,Oct,TORONTO,7
1951,Dec,TORONTO,8
1951,Sep,TORONTO,8
1952,Jun,TORONTO,6
1952,Mar,TORONTO,6
1952,Oct,TORONTO,7
1952,May,TORONTO,12
1953,Nov,TORONTO,6
1953,May,TORONTO,7
1954,Aug,HAMILTON,6
1954,Jan,TORONTO,6
1954,Dec,TORONTO,7
1954,Jun,TORONTO,7
1954,Mar,TORONTO,7
1955,Jun,TORONTO,7
1955,Nov,TORONTO,7
1956,Jun,TORONTO,6
1956,Feb,TORONTO,7
1956,Jul,TORONTO,8
1957,Apr,TORONTO,7
1957,Dec,TORONTO,7
1957,Jul,TORONTO,7
1957,Oct,TORONTO,7
1958,Jul,TORONTO,6
1958,Jun,TORONTO,6
1958,Nov,TORONTO,7
1958,Sep,TORONTO,8
1958,Feb,TORONTO,9
1958,Jan,TORONTO,9
1959,Apr,TORONTO,6
1959,Jan,TORONTO,8
1959,Nov,TORONTO,8
1960,Aug,TORONTO,6
1960,Dec,TORONTO,7
1960,Jul,TORONTO,7
1960,May,TORONTO,7
1960,Apr,TORONTO,8
1961,Apr,TORONTO,6
1961,Aug,TORONTO,6
1961,Oct,TORONTO,8
1961,Feb,TORONTO,9
1961,Mar,TORONTO,10
1962,Dec,TORONTO,6
1962,May,SUDBURY,6
1962,Feb,TORONTO,7
1962,Jun,TORONTO,7
1962,Aug,TORONTO,11
1963,Nov,TORONTO,6
1963,Feb,TORONTO,7
1963,Dec,TORONTO,8
1963,Apr,TORONTO,9
1963,Jan,TORONTO,9
1963,Mar,TORONTO,9
1963,Sep,TORONTO,11
1964,Jan,TORONTO,6
1964,Jul,TORONTO,6
1964,Sep,TORONTO,6
1964,Aug,TORONTO,7
1964,Nov,TORONTO,8
1965,Apr,TORONTO,6
1965,Oct,HAMILTON,6
1965,Feb,TORONTO,7
1965,Mar,TORONTO,7
1965,Oct,TORONTO,7
1965,Sep,TORONTO,7
1965,Dec,TORONTO,8
1966,May,TORONTO,6
1966,Oct,TORONTO,6
1966,Apr,TORONTO,7
1966,Jan,TORONTO,7
1966,Sep,TORONTO,7
1966,Jul,TORONTO,8
1966,Nov,TORONTO,11
1967,Jul,HAMILTON,6
1967,Jun,TORONTO,6
1967,May,TORONTO,7
1967,Jan,TORONTO,8
1967,Jul,TORONTO,9
1968,Jul,TORONTO,7
1968,Jan,TORONTO,8
1968,Mar,TORONTO,8
1968,Sep,TORONTO,8
1968,Dec,TORONTO,9
1968,Aug,TORONTO,10
1968,Oct,TORONTO,11
1969,Jun,TORONTO,6
1969,Apr,TORONTO,7
1969,Aug,TORONTO,7
1969,May,TORONTO,7
