Year/Année,Month/Mois,Municipality/Municipalité,Totals / Totaux
1980,Apr,AJAX,9
1980,Apr,ALLISTON,7
1980,Apr,ANCASTER,6
1980,Apr,AYLMER,7
1980,Apr,BANCROFT,7
1980,Apr,BARRIE,11
1980,Apr,BELLEVILLE,25
1980,Apr,BRACEBRIDGE,9
1980,Apr,BRAMPTON,36
1980,Apr,BRANTFORD,46
1980,Apr,BRANTFORD - MT PLEASANT,8
1980,Apr,BROCK,10
1980,Apr,BROCKVILLE,18
1980,Apr,BURLINGTON,37
1980,Apr,CALEDON,10
1980,Apr,CAMBRIDGE,43
1980,Apr,CARLETON PLACE,7
1980,Apr,CHATHAM,38
1980,Apr,COBOURG,16
1980,Apr,COLLINGWOOD,10
1980,Apr,CORNWALL,36
1980,Apr,CUMBERLAND,6
1980,Apr,DELHI,7
1980,Apr,DUNDAS,12
1980,Apr,DUNNVILLE,9
1980,Apr,EAST YORK,89
1980,Apr,EAST ZORRA-TAVISTOCK,6
1980,Apr,FERGUS,6
1980,Apr,FOREST,6
1980,Apr,FORT ERIE,18
1980,Apr,GODERICH,7
1980,Apr,GRIMSBY,12
1980,Apr,GUELPH,58
1980,Apr,HALDIMAND,10
1980,Apr,HALLOWELL,8
1980,Apr,HALTON HILLS,7
1980,Apr,HAMILTON,222
1980,Apr,HANOVER,8
1980,Apr,HARWICH,8
1980,Apr,HAWKESBURY,9
1980,Apr,INGERSOLL,7
1980,Apr,INNISFIL,7
1980,Apr,KAPUSKASING,7
1980,Apr,KENORA,19
1980,Apr,KING,6
1980,Apr,KINGSTON,48
1980,Apr,KIRKLAND LAKE,12
1980,Apr,KITCHENER,63
1980,Apr,LEAMINGTON,11
1980,Apr,LINCOLN,16
1980,Apr,LINDSAY,13
1980,Apr,LONDON,149
1980,Apr,MAIDSTONE,7
1980,Apr,MARKHAM,13
1980,Apr,MIDLAND,13
1980,Apr,MILTON,13
1980,Apr,MISSISSAUGA,76
1980,Apr,MITCHELL,7
1980,Apr,NANTICOKE,11
1980,Apr,NAPANEE,6
1980,Apr,NEPEAN,17
1980,Apr,NEWCASTLE,11
1980,Apr,NEWMARKET,21
1980,Apr,NIAGARA FALLS,44
1980,Apr,NIAGARA-ON-THE-LAKE,9
1980,Apr,NORTH BAY,26
1980,Apr,NORTH YORK,262
1980,Apr,NOT RECORDED,632
1980,Apr,OAKVILLE,21
1980,Apr,ORANGEVILLE,8
1980,Apr,ORILLIA,19
1980,Apr,OSHAWA,61
1980,Apr,OTTAWA,199
1980,Apr,OWEN SOUND,12
1980,Apr,PARIS,9
1980,Apr,PELHAM,6
1980,Apr,PEMBROKE,14
1980,Apr,PETERBOROUGH,58
1980,Apr,PICKERING,9
1980,Apr,PORT COLBORNE,13
1980,Apr,PORT HOPE,7
1980,Apr,PRESCOTT,7
1980,Apr,RENFREW,15
1980,Apr,RICHMOND HILL,16
1980,Apr,SARNIA-CLEARWATER,26
1980,Apr,SAULT STE MARIE,40
1980,Apr,SCUGOG,9
1980,Apr,SHELBURNE,8
1980,Apr,SIDNEY,10
1980,Apr,SIMCOE,15
1980,Apr,SIX NATIONS I R,7
1980,Apr,SMITHS FALLS,9
1980,Apr,SOUTH WEST OXFORD,6
1980,Apr,SOUTHAMPTON,10
1980,Apr,ST CATHARINES,77
1980,Apr,ST THOMAS,13
1980,Apr,STRATFORD,30
1980,Apr,STRATHROY,8
1980,Apr,SUDBURY,52
1980,Apr,THOROLD,12
1980,Apr,THUNDER BAY,94
1980,Apr,TIMMINS,24
1980,Apr,TORONTO,445
1980,Apr,UXBRIDGE,11
1980,Apr,VALLEY EAST,7
1980,Apr,VANIER,7
1980,Apr,VAUGHAN,13
1980,Apr,WATERLOO,17
1980,Apr,WELLAND,28
1980,Apr,WHITBY,20
1980,Apr,WHITCHURCH-STOUFFVILLE,10
1980,Apr,WIARTON,8
1980,Apr,WINDSOR,127
1980,Apr,WOODSTOCK,20
1980,Apr,WOOLWICH,13
1980,Aug,AJAX,11
1980,Aug,ALLISTON,7
1980,Aug,ANCASTER,10
1980,Aug,ARTHUR,6
1980,Aug,AURORA,10
1980,Aug,BARRIE,26
1980,Aug,BELLEVILLE,25
1980,Aug,BRACEBRIDGE,8
1980,Aug,BRADFORD,7
1980,Aug,BRAMPTON,34
1980,Aug,BRANTFORD,55
1980,Aug,BROCK,14
1980,Aug,BROCKVILLE,16
1980,Aug,BURLINGTON,54
1980,Aug,CALEDON,8
1980,Aug,CAMBRIDGE,47
1980,Aug,CHATHAM,39
1980,Aug,COBOURG,8
1980,Aug,COLBORNE,6
1980,Aug,COLLINGWOOD,13
1980,Aug,CORNWALL,41
1980,Aug,DELHI,8
1980,Aug,DRYDEN,6
1980,Aug,DUNDAS,16
1980,Aug,DUNNVILLE,13
1980,Aug,EAST YORK,61
1980,Aug,ELIZABETHTOWN,7
1980,Aug,ELLIOT LAKE,8
1980,Aug,ENNISKILLEN,7
1980,Aug,ESSEX,7
1980,Aug,FENELON,6
1980,Aug,FORT ERIE,15
1980,Aug,FORT FRANCES,6
1980,Aug,GODERICH,11
1980,Aug,GRAVENHURST,10
1980,Aug,GRIMSBY,11
1980,Aug,GUELPH,33
1980,Aug,HALDIMAND,8
1980,Aug,HALTON HILLS,10
1980,Aug,HAMILTON,214
