Name;Organisation;Country;Pays;URL;Description;Location;Latitude;Longitude;Code En;Code Fr;Country Slug;Column 1;Column 9;Thematic;Portal typology;Column 14;Column 15;Column 16;Column 17;Code Es
;;;;;;;;;;;;;;;Colombia - Air Quality;;;;;
;;;;;;;;;;;;;;;Brazil - Air Quality;;;;;
;;;;;;;;;;;;;;;Taiwan - Air Quality;;;;;
;;;;;;;;;;;;;;;Australia - Air Quality;;;;;
;;;;;;;;;;;;;;;Austria - Company Register;;;;;
;;;;;;;;;;;;;;;Uruguay - Company Register;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Draft Legislation;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Russian Federation - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Tunisia - Election Results;;;;;
;;;;;;;;;;;;;;;Italy - Election Results;;;;;
;;;;;;;;;;;;;;;Russian Federation - Government Budget;;;;;
;;;;;;;;;;;;;;;Lesotho - Government Budget;;;;;
;;;;;;;;;;;;;;;Greece - Government Budget;;;;;
;;;;;;;;;;;;;;;Austria - Government Budget;;;;;
;;;;;;;;;;;;;;;Japan - Government Budget;;;;;
;;;;;;;;;;;;;;;Brazil - Government Spending;;;;;
;;;;;;;;;;;;;;;Paraguay - Government Spending;;;;;
;;;;;;;;;;;;;;;Italy - Land Ownership;;;;;
;;;;;;;;;;;;;;;Russian Federation - National Laws;;;;;
;;;;;;;;;;;;;;;Tunisia - National Laws;;;;;
;;;;;;;;;;;;;;;Turkey - National Laws;;;;;
;;;;;;;;;;;;;;;Slovenia - National Laws;;;;;
;;;;;;;;;;;;;;;Denmark - National Laws;;;;;
;;;;;;;;;;;;;;;Montenegro - National Maps;;;;;
;;;;;;;;;;;;;;;Austria - National Maps;;;;;
;;;;;;;;;;;;;;;Malaysia - National Statistics;;;;;
;;;;;;;;;;;;;;;Germany - National Statistics;;;;;
;;;;;;;;;;;;;;;Colombia - National Statistics;;;;;
;;;;;;;;;;;;;;;Namibia - National Statistics;;;;;
;;;;;;;;;;;;;;;Australia - National Statistics;;;;;
;;;;;;;;;;;;;;;Bahamas - National Statistics;;;;;
;;;;;;;;;;;;;;;Zambia - National Statistics;;;;;
;;;;;;;;;;;;;;;Bahamas - Procurement;;;;;
;;;;;;;;;;;;;;;Cameroon - Procurement;;;;;
;;;;;;;;;;;;;;;Republic of North Macedonia - Procurement;;;;;
;;;;;;;;;;;;;;;France - Procurement;;;;;
;;;;;;;;;;;;;;;United Republic of Tanzania - Procurement;;;;;
;;;;;;;;;;;;;;;Finland - Water Quality;;;;;
;;;;;;;;;;;;;;;Latvia - Water Quality;;;;;
;;;;;;;;;;;;;;;Singapore - Weather Forecast;;;;;
;;;;;;;;;;;;;;;United States of America - Weather Forecast;;;;;
;;;;;;;;;;;;;;;France - Opendata Caux Vallée de Seine;;;;;
;;;;;;;;;;;;;;;France - Opendata Saint Quentin;;;;;
;;;;;;;;;;;;;;;France - GéoCentre*;;;;;
;;;;;;;;;;;;;;;France - Opendata 49 Maine et Loire;;;;;
;;;;;;;;;;;;;;;France - Opendata Meurthe et Moselle;;;;;
;;;;;;;;;;;;;;;France - Data Cœur Côte Fleurie;;;;;
;;;;;;;;;;;;;;;Bhutan - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Ukraine - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;New Zealand - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Greece - Air Quality;;;;;
;;;;;;;;;;;;;;;Iran - Air Quality;;;;;
;;;;;;;;;;;;;;;Austria - Company Register;;;;;
;;;;;;;;;;;;;;;United States of America - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Thailand - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Bulgaria - Election Results;;;;;
;;;;;;;;;;;;;;;Denmark - Election Results;;;;;
;;;;;;;;;;;;;;;Denmark - Election Results;;;;;
;;;;;;;;;;;;;;;Thailand - Government Budget;;;;;
;;;;;;;;;;;;;;;Republic of North Macedonia - Government Budget;;;;;
;;;;;;;;;;;;;;;Paraguay - Government Budget;;;;;
;;;;;;;;;;;;;;;Montenegro - Government Budget;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Government Budget;;;;;
;;;;;;;;;;;;;;;Mozambique - Government Budget;;;;;
;;;;;;;;;;;;;;;Mozambique - Government Budget;;;;;
;;;;;;;;;;;;;;;El Salvador - Government Budget;;;;;
;;;;;;;;;;;;;;;Botswana - Government Budget;;;;;
;;;;;;;;;;;;;;;Brazil - Government Spending;;;;;
;;;;;;;;;;;;;;;Slovenia - National Laws;;;;;
;;;;;;;;;;;;;;;Norway - National Laws;;;;;
;;;;;;;;;;;;;;;Bolivia - National Maps;;;;;
;;;;;;;;;;;;;;;Czechia - National Maps;;;;;
;;;;;;;;;;;;;;;Philippines - National Maps;;;;;
;;;;;;;;;;;;;;;Brazil - National Statistics;;;;;
;;;;;;;;;;;;;;;Austria - National Statistics;;;;;
;;;;;;;;;;;;;;;El Salvador - National Statistics;;;;;
;;;;;;;;;;;;;;;Paraguay - National Statistics;;;;;
;;;;;;;;;;;;;;;Venezuela - National Statistics;;;;;
;;;;;;;;;;;;;;;Peru - National Statistics;;;;;
;;;;;;;;;;;;;;;Republic of North Macedonia - National Statistics;;;;;
;;;;;;;;;;;;;;;Switzerland - National Statistics;;;;;
;;;;;;;;;;;;;;;Oman - National Statistics;;;;;
;;;;;;;;;;;;;;;Belgium - National Statistics;;;;;
;;;;;;;;;;;;;;;Panama - National Statistics;;;;;
;;;;;;;;;;;;;;;Panama - National Statistics;;;;;
;;;;;;;;;;;;;;;Albania - National Statistics;;;;;
;;;;;;;;;;;;;;;Bangladesh - National Statistics;;;;;
;;;;;;;;;;;;;;;Portugal - National Statistics;;;;;
;;;;;;;;;;;;;;;Namibia - National Statistics;;;;;
;;;;;;;;;;;;;;;Botswana - Procurement;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Procurement;;;;;
;;;;;;;;;;;;;;;Philippines - Procurement;;;;;
;;;;;;;;;;;;;;;Czechia - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Israel - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Austria - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Portugal - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Poland - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Chile - Weather Forecast;;;;;
;;;;;;;;;;;;;;;France - Opendata Auvergne Rhône Alpes;;;;;
;;;;;;;;;;;;;;;France - CRAIG;;;;;
;;;;;;;;;;;;;;;France - Atmo Occitanie Open Data*;;;;;
;;;;;;;;;;;;;;;France - OPenIG*;;;;;
;;;;;;;;;;;;;;;France - GEOPAL;;;;;
;;;;;;;;;;;;;;;France - Opendata Puy de Dôme;;;;;
;;;;;;;;;;;;;;;Guatemala - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Germany - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Czechia - Air Quality;;;;;
;;;;;;;;;;;;;;;El Salvador - Air Quality;;;;;
;;;;;;;;;;;;;;;Colombia - Air Quality;;;;;
;;;;;;;;;;;;;;;Taiwan - Air Quality;;;;;
;;;;;;;;;;;;;;;Italy - Company Register;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Company Register;;;;;
