sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
141,53,09,1221.48,559.96,1116.79,1.53
140,63,09,1212.25,365.31,1161.77,1.34
32,16,09,2239.86,612.29,2176.3,1.26
30,36,09,1786.14,583.18,1704.69,1.35
31,26,09,2164.18,699.23,2052.36,1.4
21,7,07,687.72,193.7,664.27,1.3
18,125,09,455.84,211.1,416.9,1.52
19,115,09,1855.68,720.6,1743.07,1.41
17,135,09,1233.75,407.54,1179.22,1.33
46,4,07,587.96,289.42,530.01,1.6
61,41,07,2550.5,605.55,2483.24,1.26
62,31,07,1614.02,465.61,1543.84,1.41
60,51,07,2257.53,707.7,2165.3,1.32
33,27,08,1449.94,392.23,1402.17,1.29
30,57,08,1473.92,517.58,1399.88,1.37
32,37,08,1488.4,441.91,1430.51,1.32
64,11,07,1215.88,446.62,1150.45,1.38
34,17,08,935.85,285.36,897.07,1.33
22,58,08,1480.32,662.88,1362.95,1.48
21,68,08,2380.79,649.96,2301.9,1.29
26,18,08,252.82,122.03,229.63,1.57
31,47,08,884.65,376.09,819.91,1.48
23,48,08,1355.86,393.99,1307.76,1.3
60,11,07,2221.1,744.11,2107.11,1.38
25,28,08,1285.42,578.34,1177.34,1.51
20,78,08,573.82,211.04,543.15,1.38
24,38,08,844.52,309.05,801.74,1.36
59,35,07,1636.23,565.45,1562.21,1.34
55,75,07,1626.36,716.93,1518.1,1.42
122,113,07,633.1,290.5,582.8,1.48
40,17,07,992.73,360.58,940.71,1.37
120,133,07,2303.34,728.37,2204.64,1.33
53,95,07,1648.14,592.2,1553.47,1.4
66,56,08,1488.15,526.15,1407.07,1.39
64,76,08,1131.77,298.6,1095.51,1.29
57,55,07,1064.64,436.97,984.54,1.49
60,40,09,2219.3,886.56,2089.88,1.39
61,30,09,1884.59,550.92,1810.82,1.32
62,20,09,1060.96,303.53,1020.27,1.32
56,65,07,1223.66,542.46,1136.98,1.45
123,103,07,1810.13,595.68,1737.42,1.31
68,36,08,937.99,328.45,889.91,1.37
29,124,08,1311.83,386.85,1262.52,1.31
28,134,08,988.05,385.49,933.53,1.38
69,26,08,1212.84,381.7,1163.59,1.32
5,4,07,843.91,482.18,741.22,1.64
100,17,08,773.09,265.77,732.99,1.38
109,81,09,530.26,319.1,450.98,1.77
108,91,09,836.33,295.68,794.15,1.36
121,123,07,315.05,195.53,276.94,1.63
123,1,09,1054.35,430.27,985.04,1.43
67,46,08,1140.71,315.78,1104.01,1.28
73,136,07,455.93,250.4,417.24,1.48
75,116,07,2545.65,1114.63,2375.68,1.42
76,106,07,1423.6,415.58,1370.71,1.31
74,139,07,1270.34,469.63,1196.21,1.4
65,66,08,1395.27,392.15,1348.89,1.29
58,45,07,598.04,338.63,530.6,1.59
74,126,07,283.37,155.23,246.05,1.75
75,129,07,1586.99,581.71,1501.28,1.38
50,104,07,870.39,272.81,836.83,1.31
101,131,09,1488.92,697.88,1359.34,1.51
102,121,09,1216.22,559.04,1123.24,1.46
54,85,07,1618.4,525.89,1547.02,1.34
100,141,09,801.67,398.57,712.47,1.64
76,119,07,1622.23,532.45,1550.86,1.34
104,101,09,553.8,251.98,505.97,1.53
28,125,07,406.06,243.07,362.93,1.54
29,115,07,1504.22,478.11,1436.93,1.35
103,111,09,1704.78,579.17,1622.79,1.36
27,135,07,1682.67,460.01,1625.51,1.3
128,85,07,1121.9,497.21,1033.76,1.48
127,95,07,610.21,224.53,573.89,1.42
123,41,08,1573.33,371.57,1533.66,1.25
125,21,08,1574.95,447.65,1518.69,1.3
77,109,07,907.62,382.79,838.71,1.48
126,11,08,1339.96,547.8,1247.5,1.45
129,75,07,1605.22,606.35,1522.28,1.36
62,96,08,1479.1,388.87,1433.93,1.28
124,31,08,1276.95,480.63,1200.55,1.41
140,55,09,362.67,210.51,298.63,1.99
141,45,09,1706.82,512.84,1638.86,1.33
121,61,08,1593.18,528.78,1530.55,1.3
120,71,08,1012.15,308.91,971.14,1.33
35,90,08,1868.05,656.15,1781.09,1.34
36,80,08,1877.59,451.57,1828.62,1.25
39,50,08,1541.6,434.24,1487.68,1.3
122,51,08,2038.97,421.99,1997.32,1.22
41,32,07,321.56,188.86,265.79,1.98
42,22,07,785.77,338.79,739.27,1.38
40,42,07,255.25,180.34,195.38,2.33
38,60,08,401.74,159.87,377.58,1.41
43,12,07,835.59,297.2,789.52,1.4
63,86,08,2240.69,593.85,2159.21,1.32
37,70,08,2290.94,857.11,2146.97,1.43
24,9,09,1314.06,539.99,1222.99,1.44
135,10,07,611.8,209.44,578.09,1.41
134,20,07,2395.36,573.18,2329.93,1.26
132,40,07,1212.79,367.59,1163.74,1.33
130,60,07,1422.97,486.58,1359.55,1.34
133,30,07,1909.44,632.98,1812.32,1.38
124,15,09,1746.7,870.51,1629.45,1.41
122,35,09,1592.65,491.69,1521.73,1.35
121,45,09,320.75,208.78,283.41,1.58
120,55,09,741.6,251.82,705.78,1.36
123,25,09,1450.47,639.41,1362.52,1.39
96,3,09,1359.74,350.68,1317.33,1.28
130,23,07,1781.58,438.52,1733.18,1.26
131,13,07,781.17,273.81,742.88,1.36
99,115,07,1548.23,491.33,1477.89,1.35
97,135,07,257.28,227.92,206.51,1.9
98,125,07,1211.28,513.31,1119.36,1.47
15,4,08,1691.71,626.05,1594.5,1.4
136,94,09,1387.92,646.21,1278.53,1.48
138,74,09,1470.92,687.89,1367.77,1.43
139,64,09,874.46,299.82,832.57,1.36
29,90,09,1167.77,324.28,1128.36,1.29
41,20,07,648.37,254.64,602.49,1.47
40,30,07,2135.34,557.94,2067.21,1.29
