sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
141,53,09,1309.11,620.09,1185.59,1.58
140,63,09,1267.45,376.73,1215.06,1.34
31,26,09,2277.42,765.74,2142.25,1.44
30,36,09,1883.19,647.7,1785.79,1.38
32,16,09,2349.92,662.73,2274.37,1.28
21,7,07,713.08,199.24,688.7,1.3
19,115,09,2023.46,821.81,1884.11,1.45
18,125,09,479.35,223.55,437.21,1.53
17,135,09,1315.87,421.99,1257.48,1.34
46,4,07,599.97,302.27,539.17,1.62
64,11,07,1267.61,473.81,1195.95,1.39
62,31,07,1677.75,506.99,1591.1,1.48
61,41,07,2599.3,654.22,2523.17,1.27
32,37,08,1554.13,478.79,1489.13,1.33
60,51,07,2058.56,450.93,2011.42,1.24
33,27,08,1451.98,407.9,1399.46,1.31
31,47,08,967.32,403.08,898.72,1.46
34,17,08,985.8,285.02,948.57,1.32
23,48,08,1419.24,445.08,1359.74,1.33
20,78,08,593.4,220.83,559.53,1.4
30,57,08,1577.44,552.32,1494.52,1.38
22,58,08,1542.39,687.15,1419.97,1.48
60,11,07,2259.16,753.71,2144.35,1.38
24,38,08,876.76,332.25,829.51,1.38
25,28,08,1328.71,597.59,1216.13,1.51
26,18,08,264.58,129.21,239.49,1.59
55,75,07,1657.43,790.25,1535.09,1.44
57,55,07,1091.8,452.84,1010.25,1.48
121,123,07,326.65,200.5,288.22,1.62
40,17,07,1039.58,389.85,981.55,1.39
123,103,07,1986.32,732.68,1882.42,1.37
59,35,07,1726.86,667.0,1628.3,1.39
68,36,08,958.61,329.14,910.29,1.37
66,56,08,1554.44,533.06,1474.95,1.38
54,85,07,1647.82,559.59,1568.8,1.35
61,30,09,2020.9,561.23,1946.31,1.32
60,40,09,2218.21,976.62,2067.85,1.43
62,20,09,1091.95,316.39,1048.77,1.33
58,45,07,646.88,365.1,571.07,1.62
122,113,07,651.85,293.02,600.35,1.48
64,76,08,1165.56,296.78,1128.63,1.29
21,68,08,2461.11,677.14,2379.11,1.29
28,134,08,1028.09,426.7,964.65,1.4
53,95,07,1746.26,627.84,1645.2,1.41
5,4,07,840.61,489.02,734.41,1.66
100,17,08,826.87,287.61,781.24,1.4
29,124,08,1374.36,419.98,1318.62,1.33
109,81,09,551.24,327.76,468.39,1.78
108,91,09,893.58,322.24,846.07,1.38
120,133,07,2248.64,776.43,2139.44,1.35
123,1,09,1171.39,448.57,1095.95,1.44
76,106,07,1475.87,442.37,1418.77,1.32
74,126,07,289.28,157.53,251.46,1.75
73,136,07,467.26,260.11,427.56,1.48
50,104,07,889.72,284.2,854.28,1.32
76,119,07,1712.05,595.48,1627.96,1.36
77,109,07,962.09,407.52,886.82,1.49
56,65,07,1216.37,544.27,1128.73,1.46
74,139,07,1344.87,513.87,1259.94,1.43
75,129,07,1683.4,641.9,1583.18,1.41
75,116,07,2268.91,589.1,2195.42,1.29
102,121,09,1276.13,603.46,1171.62,1.48
101,131,09,1602.96,741.07,1460.37,1.53
104,101,09,571.74,258.06,523.19,1.52
103,111,09,1770.21,618.23,1678.14,1.38
29,115,07,1550.76,497.19,1478.9,1.36
28,125,07,429.12,265.19,379.43,1.58
100,141,09,835.42,424.68,738.61,1.66
27,135,07,1768.64,482.46,1706.2,1.31
127,95,07,628.17,229.34,590.77,1.42
128,85,07,1134.18,519.0,1039.98,1.5
123,41,08,1570.46,376.03,1529.11,1.26
125,21,08,1653.54,472.55,1590.61,1.32
120,71,08,1053.45,328.67,1008.04,1.34
129,75,07,1622.22,662.86,1528.09,1.39
67,46,08,1181.08,323.66,1143.64,1.28
126,11,08,1381.71,556.49,1287.52,1.45
141,45,09,1794.59,556.91,1718.41,1.34
140,55,09,389.96,220.94,326.07,1.94
124,31,08,1311.59,484.68,1234.99,1.4
121,61,08,1650.9,612.84,1571.82,1.34
69,26,08,1241.18,412.0,1186.61,1.34
39,50,08,1657.64,442.47,1602.42,1.29
36,80,08,1906.76,443.12,1861.04,1.24
41,32,07,331.31,189.67,276.51,1.94
40,42,07,259.55,183.67,199.16,2.32
43,12,07,855.92,306.26,808.6,1.4
38,60,08,418.64,166.86,393.14,1.41
42,22,07,828.09,371.02,773.79,1.41
65,66,08,1439.95,390.3,1393.38,1.29
35,90,08,1868.49,598.4,1786.13,1.34
24,9,09,1364.91,570.8,1264.51,1.46
37,70,08,2377.27,928.95,2217.12,1.44
62,96,08,1519.42,423.76,1467.94,1.29
134,20,07,2461.32,588.52,2392.14,1.27
130,60,07,1474.25,517.48,1405.83,1.34
132,40,07,1281.46,397.24,1225.59,1.34
135,10,07,623.52,196.67,592.57,1.39
63,86,08,2232.22,531.54,2164.8,1.29
133,30,07,1958.48,625.15,1865.32,1.37
122,35,09,1711.27,519.51,1635.7,1.35
121,45,09,339.8,227.12,297.36,1.61
120,55,09,779.62,270.59,740.05,1.38
124,15,09,1909.71,992.02,1773.12,1.42
123,25,09,1561.06,741.47,1453.83,1.42
96,3,09,1440.09,344.0,1400.75,1.26
130,23,07,1839.74,435.38,1790.3,1.26
131,13,07,793.86,272.99,755.2,1.36
99,115,07,1611.08,507.23,1537.66,1.35
98,125,07,1273.86,534.11,1176.54,1.48
97,135,07,268.11,240.09,215.75,1.9
15,4,08,1742.39,659.65,1636.95,1.41
136,94,09,1511.14,721.97,1387.65,1.49
139,64,09,924.4,317.78,879.63,1.36
138,74,09,1513.87,516.61,1433.86,1.39
29,90,09,1209.81,341.77,1166.94,1.3
