sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
24,129,12,1380.51,458.75,1315.3,1.35
41,19,12,739.39,241.69,707.35,1.33
14,116,12,1768.88,512.84,1703.83,1.31
40,29,12,1764.1,353.26,1731.87,1.21
87,47,10,1843.84,594.88,1764.29,1.33
107,48,12,1175.7,365.15,1126.96,1.33
16,46,12,2384.86,832.6,2265.33,1.36
92,116,12,1367.3,363.05,1325.15,1.28
93,106,12,1465.73,580.62,1400.93,1.33
141,73,12,1289.36,488.09,1239.48,1.29
140,83,12,162.72,114.43,125.17,2.31
90,136,12,1532.48,956.8,1413.14,1.41
86,57,10,1163.58,374.68,1109.46,1.36
71,97,10,1117.51,328.27,1079.44,1.29
72,87,10,1684.3,372.33,1643.45,1.25
75,57,10,719.08,347.97,659.19,1.5
108,120,12,1755.27,461.26,1702.23,1.27
12,136,11,1543.55,512.85,1474.57,1.34
78,27,10,1128.55,305.63,1090.44,1.3
13,126,11,1277.38,573.26,1196.7,1.4
11,108,10,441.18,173.31,420.58,1.33
10,118,10,1791.24,361.65,1757.95,1.21
14,116,11,1885.91,812.73,1773.83,1.38
94,9,11,1463.28,446.77,1401.63,1.34
106,140,12,456.65,245.23,406.82,1.66
76,47,10,1169.36,391.56,1113.2,1.36
109,110,12,1535.0,566.47,1446.83,1.4
91,126,12,1493.0,395.24,1448.9,1.27
15,106,11,1793.71,566.77,1722.44,1.31
73,77,10,1321.09,439.1,1264.48,1.33
104,78,12,2125.6,436.05,2082.54,1.22
107,130,12,857.43,377.83,796.76,1.45
77,37,10,1650.55,598.95,1566.33,1.36
122,4,11,737.14,348.86,677.71,1.47
139,4,10,965.33,527.09,868.78,1.54
64,92,11,1111.22,355.64,1062.52,1.34
67,62,11,429.73,185.98,391.54,1.58
66,72,11,813.0,291.22,772.67,1.36
109,74,11,1235.2,506.97,1144.66,1.47
68,52,11,1238.15,356.22,1190.6,1.32
107,94,11,1029.91,249.63,1002.97,1.25
79,17,10,1592.23,286.69,1567.88,1.19
65,82,11,648.72,283.43,606.09,1.42
108,84,11,886.26,389.64,840.45,1.34
69,42,11,1950.88,647.4,1862.59,1.34
29,126,12,1312.71,380.26,1260.47,1.33
28,136,12,665.9,412.45,617.35,1.4
7,136,12,2509.8,571.93,2451.24,1.24
110,115,10,1076.32,402.43,1018.59,1.38
