"state","incorporationdate","population","landarea","popdensity","housingunits","housingunit_density","state_capital","websiteurl","covid_datawebsite"
"Alabama Gazetteer","December 14, 1819 - 22nd State","4,779,736 (2010 Census) - Ranks 23rd","50,645.3 square miles - Ranks 28th","94.4 persons per square mile - Ranks 27th","2,171,853 (2010 Census)","42.9 housing units per square mile","Montgomery","https://www.alabama.gov/portal/index.jsp","https://alabama.hometownlocator.com/covid-19/novel-coronavirus-state,st,alabama.cfm"
"Alaska Gazetteer","January 3, 1959 - 49th State","710,231 (2010 Census) - Ranks 47th","570,641.0 square miles - Ranks 1st","1.2 persons per square mile - Ranks 50th","306,967 (2010 Census)","0.5 housing units per square mile","Juneau","https://www.state.ak.us/","https://alaska.hometownlocator.com/covid-19/novel-coronavirus-state,st,alaska.cfm"
"Arizona Gazetteer","February 14, 1912 - 48th State","6,392,017 (2010 Census) - Ranks 16th","113,594.1 square miles - Ranks 6th","56.3 persons per square mile - Ranks 33rd","2,844,526 (2010 Census)","25.0 housing units per square mile","Phoenix","https://az.gov/","https://arizona.hometownlocator.com/covid-19/novel-coronavirus-state,st,arizona.cfm"
"Arkansas Gazetteer","June 15, 1836 - 25th State","2,915,918 (2010 Census) - Ranks 32nd","52,035.5 square miles - Ranks 27th","56.0 persons per square mile - Ranks 34th","1,316,299 (2010 Census)","25.3 housing units per square mile","Little Rock","https://www.accessarkansas.org/","https://arkansas.hometownlocator.com/covid-19/novel-coronavirus-state,st,arkansas.cfm"
"California Gazetteer","September 9, 1850 - 31st State","37,253,956 (2010 Census) - Ranks 1st","155,779.2 square miles - Ranks 3rd","239.1 persons per square mile - Ranks 11st","13,680,081 (2010 Census)","87.8 housing units per square mile","Sacramento","https://www.ca.gov/","https://california.hometownlocator.com/covid-19/novel-coronavirus-state,st,california.cfm"
"Colorado Gazetteer","August 1, 1876 - 38th State","5,029,196 (2010 Census) - Ranks 22nd","103,641.9 square miles - Ranks 8th","48.5 persons per square mile - Ranks 37th","2,212,898 (2010 Census)","21.4 housing units per square mile","Denver","https://www.colorado.gov/","https://colorado.hometownlocator.com/covid-19/novel-coronavirus-state,st,colorado.cfm"
"Connecticut Gazetteer","January 9, 1788 - 5th State","3,574,097 (2010 Census) - Ranks 29th","4,842.4 square miles - Ranks 48th","738.1 persons per square mile - Ranks 4th","1,487,891 (2010 Census)","307.3 housing units per square mile","Hartford","https://www.ct.gov/","https://connecticut.hometownlocator.com/covid-19/novel-coronavirus-state,st,connecticut.cfm"
"Washington, D.C. Gazetteer","July 16, 1790","601,723 (2010 Census)","61.1 square miles","9,856.5 persons per square mile","296,719 (2010 Census)","4,860.4 housing units per square mile","","",""
"Delaware Gazetteer","December 7, 1787 - 1st State","897,934 (2010 Census) - Ranks 45th","1,948.5 square miles - Ranks 49th","460.8 persons per square mile - Ranks 6th","405,885 (2010 Census)","208.3 housing units per square mile","Dover","https://www.delaware.gov/","https://delaware.hometownlocator.com/covid-19/novel-coronavirus-state,st,delaware.cfm"
"Florida Gazetteer","March 3, 1845 - 27th State","18,801,310 (2010 Census) - Ranks 4th","53,624.8 square miles - Ranks 26th","350.6 persons per square mile - Ranks 8th","8,989,580 (2010 Census)","167.6 housing units per square mile","Tallahassee","https://www.myflorida.com/taxonomy/government/","https://florida.hometownlocator.com/covid-19/novel-coronavirus-state,st,florida.cfm"
"Georgia Gazetteer","January 2, 1788 - 4th State","9,687,653 (2010 Census) - Ranks 9th","57,513.5 square miles - Ranks 21st","168.4 persons per square mile - Ranks 18th","4,088,801 (2010 Census)","71.1 housing units per square mile","Atlanta","https://www.georgia.gov/","https://georgia.hometownlocator.com/covid-19/novel-coronavirus-state,st,georgia.cfm"
"Hawaii Gazetteer","August 21, 1959 - 50th State","1,360,301 (2010 Census) - Ranks 40th","6,422.6 square miles - Ranks 47th","211.8 persons per square mile - Ranks 13rd","519,508 (2010 Census)","80.9 housing units per square mile","Honolulu","https://www.ehawaii.gov/dakine/","https://hawaii.hometownlocator.com/covid-19/novel-coronavirus-state,st,hawaii.cfm"
"Idaho Gazetteer","July 3, 1890 - 43rd State","1,567,582 (2010 Census) - Ranks 39th","82,643.1 square miles - Ranks 11st","19.0 persons per square mile - Ranks 44th","667,796 (2010 Census)","8.1 housing units per square mile","Boise","https://www.accessidaho.org/","https://idaho.hometownlocator.com/covid-19/novel-coronavirus-state,st,idaho.cfm"
"Illinois Gazetteer","December 3, 1818 - 21st State","12,830,632 (2010 Census) - Ranks 5th","55,518.9 square miles - Ranks 24th","231.1 persons per square mile - Ranks 12nd","5,296,715 (2010 Census)","95.4 housing units per square mile","Springfield","https://www.illinois.gov/","https://illinois.hometownlocator.com/covid-19/novel-coronavirus-state,st,illinois.cfm"
