Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-114.01,51.12,CALGARY INTL A,3031092,2021-01-01,2021,1,1,,3.4,,-6,,-1.3,,19.3,,0,,0,,0,,0,,11,,27,,48,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-02,2021,1,2,,8.4,,-6.6,,0.9,,17.1,,0,,0,,0,,0,,10,,26,,67,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-03,2021,1,3,,5.3,,-6.6,,-0.7,,18.7,,0,,0,,0,,0,,9,,27,,61,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-04,2021,1,4,,3.4,,-7.3,,-2,,20,,0,,0,,0,,0,,6,,29,,50,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-05,2021,1,5,,4.9,,-3.1,,0.9,,17.1,,0,,0,,0,T,0,T,4,,35,,52,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-06,2021,1,6,,5.2,,-6.8,,-0.8,,18.8,,0,,0,,0,,0,,4,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,2021-01-07,2021,1,7,,3.7,,-9,,-2.7,,20.7,,0,,0,,0,,0,,7,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,2021-01-08,2021,1,8,,-1.7,,-15,,-8.4,,26.4,,0,,0,,0,,0,,10,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,2021-01-09,2021,1,9,,-0.1,,-12.5,,-6.3,,24.3,,0,,0,,0,,0,,9,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,2021-01-10,2021,1,10,,7.7,,-13.7,,-3,,21,,0,,0,,0,,0,,8,,27,,65,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-11,2021,1,11,,8.7,,-1.1,,3.8,,14.2,,0,,0,,0,,0,,8,,27,,67,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-12,2021,1,12,,8.2,,-2.3,,3,,15,,0,,0,,0,,0,,4,,27,,63,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-13,2021,1,13,,7.5,,-0.2,,3.7,,14.3,,0,,0.2,,0,T,0.2,,4,,35,,89,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-14,2021,1,14,,1.8,,-6.8,,-2.5,,20.5,,0,,0,,0,,0,,4,,27,,45,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-15,2021,1,15,,8.7,,-7.8,,0.5,,17.5,,0,,0,,0,,0,,4,,28,,55,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-16,2021,1,16,,5.2,,-2,,1.6,,16.4,,0,,0,,0,,0,,4,,28,,52,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-17,2021,1,17,,6.8,,-2.7,,2.1,,15.9,,0,,0,,0,T,0,T,3,,29,,50,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-18,2021,1,18,,2.9,,-5.8,,-1.5,,19.5,,0,,0,,0,,0,,3,,34,,45,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-19,2021,1,19,,9.7,,-9.5,,0.1,,17.9,,0,,0,,0,,0,,3,,30,,76,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-20,2021,1,20,,4.4,,-9.6,,-2.6,,20.6,,0,,0,,0,,0,,2,,29,,46,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-21,2021,1,21,,-1.4,,-9.2,,-5.3,,23.3,,0,,0,,0,,0,,2,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,2021-01-22,2021,1,22,,-3.2,,-11.9,,-7.6,,25.6,,0,,0,,0,,0,,2,,1,,39,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-23,2021,1,23,,-2.6,,-15.6,,-9.1,,27.1,,0,,0,,0.2,,0.2,,2,,4,,33,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-24,2021,1,24,,-13.3,,-16.3,,-14.8,,32.8,,0,,0,,0.4,,0.4,,2,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,2021-01-25,2021,1,25,,-13.7,,-17.5,,-15.6,,33.6,,0,,0,,0.8,,0.8,,2,,15,,33,
-114.01,51.12,CALGARY INTL A,3031092,2021-01-26,2021,1,26,,-12.7,,-17,,-14.9,,32.9,,0,,0,,1.4,,1.1,,2,,,M,,M
