city,country,ISO CountryCode,AirportName,airporturl,ICAO,IATA,latitude,longitude,moreinfourl
Amdar  Amdar,Afghanistan,AF,Airport of Amdar,http://airportsbase.org/Afghanistan/all/Amdar/Airport_of_Amdar,OAAD,,,,http://airportsbase.org/Afghanistan/all/Amdar/Airport_of_Amdar
Amdar  Amdar,Afghanistan,AF,Airport of Amdar,http://airportsbase.org/Afghanistan/all/Amdar/Airport_of_Amdar,OAAD,,,,http://airportsbase.org/Afghanistan/all/Amdar/Airport_of_Amdar
Andkhoi  Andkhoi,Afghanistan,AF,Airport of Andkhoi,http://airportsbase.org/Afghanistan/all/Andkhoi/Airport_of_Andkhoi,OAAK,OYV,,,http://airportsbase.org/Afghanistan/all/Andkhoi/Airport_of_Andkhoi
Asmar  Asmar,Afghanistan,AF,Airport of Asmar,http://airportsbase.org/Afghanistan/all/Asmar/Airport_of_Asmar,OAAS,,,,http://airportsbase.org/Afghanistan/all/Asmar/Airport_of_Asmar
Baghlan  Baghlan,Afghanistan,AF,Airport of Baghlan,http://airportsbase.org/Afghanistan/all/Baghlan/Airport_of_Baghlan,OABG,,,,http://airportsbase.org/Afghanistan/all/Baghlan/Airport_of_Baghlan
Bagram  Bagram,Afghanistan,AF,BAGRAM,http://airportsbase.org/Afghanistan/all/Bagram/BAGRAM,OAIX,,"34° 56' 46.10"" N","069° 15' 53.90"" E",http://airportsbase.org/Afghanistan/all/Bagram/BAGRAM
Bamar  Bamar,Afghanistan,AF,Airport of Bamar,http://airportsbase.org/Afghanistan/all/Bamar/Airport_of_Bamar,OABR,,,,http://airportsbase.org/Afghanistan/all/Bamar/Airport_of_Bamar
Bamiyan  Bamiyan,Afghanistan,AF,Bamiyan,http://airportsbase.org/Afghanistan/all/Bamiyan/Bamiyan,OABN,BIN,"34° 48' 0"" N","67° 49' 0"" E",http://airportsbase.org/Afghanistan/all/Bamiyan/Bamiyan
Bandkamalkhan  Bandkamalkhan,Afghanistan,AF,Airport of Bandkamalkhan,http://airportsbase.org/Afghanistan/all/Bandkamalkhan/Airport_of_Bandkamalkhan,OABK,,,,http://airportsbase.org/Afghanistan/all/Bandkamalkhan/Airport_of_Bandkamalkhan
Behsood  Behsood,Afghanistan,AF,Airport of Behsood,http://airportsbase.org/Afghanistan/all/Behsood/Airport_of_Behsood,OABD,,,,http://airportsbase.org/Afghanistan/all/Behsood/Airport_of_Behsood
Bost  Bost,Afghanistan,AF,Bost,http://airportsbase.org/Afghanistan/all/Bost/Bost,OABT,BST,"31° 33' 0"" N","64° 22' 0"" E",http://airportsbase.org/Afghanistan/all/Bost/Bost
Chakcharan  Chakcharan,Afghanistan,AF,Chakcharan,http://airportsbase.org/Afghanistan/all/Chakcharan/Chakcharan,OACC,CCN,"34° 32' 0"" N","65° 16' 0"" E",http://airportsbase.org/Afghanistan/all/Chakcharan/Chakcharan
Charburjak  Charburjak,Afghanistan,AF,Airport of Charburjak,http://airportsbase.org/Afghanistan/all/Charburjak/Airport_of_Charburjak,OACB,,,,http://airportsbase.org/Afghanistan/all/Charburjak/Airport_of_Charburjak
Darra-I-Soof  Darra-I-Soof,Afghanistan,AF,Airport of Darra-I-Soof,http://airportsbase.org/Afghanistan/all/Darra-I-Soof/Airport_of_Darra-I-Soof,OADF,,,,http://airportsbase.org/Afghanistan/all/Darra-I-Soof/Airport_of_Darra-I-Soof
Darwaz  Darwaz,Afghanistan,AF,Darwaz,http://airportsbase.org/Afghanistan/all/Darwaz/Darwaz,OADZ,DAZ,"38° 28' 0"" N","70° 53' 0"" E",http://airportsbase.org/Afghanistan/all/Darwaz/Darwaz
Dawlatabad  Dawlatabad,Afghanistan,AF,Airport of Dawlatabad,http://airportsbase.org/Afghanistan/all/Dawlatabad/Airport_of_Dawlatabad,OADD,,,,http://airportsbase.org/Afghanistan/all/Dawlatabad/Airport_of_Dawlatabad
Deshoo  Deshoo,Afghanistan,AF,Airport of Deshoo,http://airportsbase.org/Afghanistan/all/Deshoo/Airport_of_Deshoo,OAOO,,,,http://airportsbase.org/Afghanistan/all/Deshoo/Airport_of_Deshoo
Devar  Devar,Afghanistan,AF,Airport of Devar,http://airportsbase.org/Afghanistan/all/Devar/Airport_of_Devar,OADV,,,,http://airportsbase.org/Afghanistan/all/Devar/Airport_of_Devar
Dilaram  Dilaram,Afghanistan,AF,Airport of Dilaram,http://airportsbase.org/Afghanistan/all/Dilaram/Airport_of_Dilaram,OARM,,,,http://airportsbase.org/Afghanistan/all/Dilaram/Airport_of_Dilaram
Eshkashem  Eshkashem,Afghanistan,AF,Airport of Eshkashem,http://airportsbase.org/Afghanistan/all/Eshkashem/Airport_of_Eshkashem,OAEM,,,,http://airportsbase.org/Afghanistan/all/Eshkashem/Airport_of_Eshkashem
